simulation,tradeoff,Org1_growth,Org2_growth
1c,1.0,10.0,10.0
1c,0.8,8.000000000007628,8.000000000007628
1c,0.6,6.000000000004689,6.000000000004689
1c,0.4,4.000000000009166,4.000000000009166
1c,0.2,2.0000000000309295,2.0000000000309295
1c,0.0,0.0,0.0
2a,1.0,5.000000000000022,5.000000000000022
2a,0.8,4.000000000005583,4.000000000005583
2a,0.6,3.000000000012473,3.000000000012473
2a,0.4,2.00000000000201,2.00000000000201
2a,0.2,1.000000000011847,1.000000000011847
2a,0.0,0.0,0.0
2b,1.0,0.5882352941361967,9.411764705863808
2b,0.8,0.47058823531127114,7.5294117646913765
2b,0.6,0.3529411764962102,5.64705882350784
2b,0.4,0.23529411770472666,3.7647058823035424
2b,0.2,0.11764705904016247,1.8823529409959971
2b,0.0,0.0,0.0
2c,1.0,4.0,1.0
2c,0.8,3.000000000029864,0.9999999999804482
2c,0.6,2.0000000002731886,0.9999999997936694
2c,0.4,1.0000129146605534,0.9999870853464722
2c,0.2,0.5000000000247244,0.49999999999913836
2c,0.0,0.0,0.0
3a,1.0,20.000000000000057,10.00000000000004
3a,0.8,14.000000000080487,9.999999999932571
3a,0.6,9.000000000041585,8.9999999999618
3a,0.4,6.000000000020417,5.999999999986556
3a,0.2,3.0000000000891767,2.9999999999584253
3a,0.0,5.151725841427226e-06,4.796447553036394e-06
3b,1.0,20.000000000000068,19.999999999999908
3b,0.8,16.000015004095214,15.999984995904972
3b,0.6,12.000017072481661,11.99998292751865
3b,0.4,8.000022030302265,7.999977969698528
3b,0.2,4.000030000402069,3.99996999960095
3b,0.0,5.750270571379056e-06,3.452548275865439e-06
3c,1.0,10.000000000000016,10.000000000000137
3c,0.8,7.999999999994708,8.000000000009647
3c,0.6,5.999999999992956,6.000000000013534
3c,0.4,3.999999999979053,4.000000000033271
3c,0.2,1.9999999999356257,2.000000000130939
3c,0.0,4.6954603246896905e-06,5.135167860752665e-06
